============================= test session starts =============================
platform win32 -- Python 3.14.2, pytest-9.0.2, pluggy-1.6.0 -- C:\Users\Rodrigo\AppData\Local\Programs\Python\Python314\python.exe
cachedir: .pytest_cache
django: version: 6.0.1, settings: caixa_nfse.settings.test (from option)
rootdir: C:\Users\Rodrigo\Projetos\wCaixaDigital
configfile: pytest.ini (WARNING: ignoring pytest config in pyproject.toml!)
plugins: anyio-4.12.1, Faker-40.1.2, django-4.11.1
caixa_nfse/nfse/tests/test_tasks.py::TestNFSeTasks::test_enviar_nfse_success PASSED [ 81%]
caixa_nfse/nfse/tests/test_tasks.py::TestNFSeTasks::test_enviar_nfse_not_found PASSED [ 82%]
caixa_nfse/nfse/tests/test_tasks.py::TestNFSeTasks::test_enviar_nfse_retry_on_exception PASSED [ 82%]
caixa_nfse/nfse/tests/test_tasks.py::TestNFSeTasks::test_verificar_certificados_vencendo PASSED [ 82%]
caixa_nfse/nfse/tests/test_tasks.py::TestNFSeTasks::test_consultar_lote_nfse PASSED [ 83%]
caixa_nfse/nfse/tests/test_views.py::TestNFSeViews::test_list_access PASSED [ 83%]
caixa_nfse/nfse/tests/test_views.py::TestNFSeViews::test_detail_access FAILED [ 83%]
caixa_nfse/nfse/tests/test_views.py::TestNFSeViews::test_create_success PASSED [ 84%]
caixa_nfse/nfse/tests/test_views.py::TestNFSeViews::test_update_restricted_status PASSED [ 84%]
caixa_nfse/nfse/tests/test_views.py::TestNFSeViews::test_enviar_trigger_task FAILED [ 85%]
caixa_nfse/nfse/tests/test_views.py::TestNFSeViews::test_enviar_fail_not_rascunho FAILED [ 85%]
caixa_nfse/nfse/tests/test_views.py::TestNFSeViews::test_cancelar_success PASSED [ 85%]
caixa_nfse/nfse/tests/test_views.py::TestNFSeViews::test_cancelar_fail_motivo_missing PASSED [ 86%]
caixa_nfse/nfse/tests/test_views.py::TestNFSeViews::test_download_xml PASSED [ 86%]
caixa_nfse/nfse/tests/test_views.py::TestNFSeViews::test_download_xml_missing PASSED [ 87%]
caixa_nfse/relatorios/tests/test_exports.py::TestAllExports::test_export_pdf_mocked[relatorios:movimentacoes] FAILED [ 87%]
caixa_nfse/relatorios/tests/test_exports.py::TestAllExports::test_export_pdf_mocked[relatorios:resumo_caixa] FAILED [ 87%]
caixa_nfse/relatorios/tests/test_exports.py::TestAllExports::test_export_pdf_mocked[relatorios:formas_pagamento] FAILED [ 88%]
caixa_nfse/relatorios/tests/test_exports.py::TestAllExports::test_export_pdf_mocked[relatorios:performance_operador] FAILED [ 88%]
caixa_nfse/relatorios/tests/test_exports.py::TestAllExports::test_export_pdf_mocked[relatorios:historico_aberturas] FAILED [ 88%]
caixa_nfse/relatorios/tests/test_exports.py::TestAllExports::test_export_pdf_mocked[relatorios:diferencas_caixa] FAILED [ 89%]
caixa_nfse/relatorios/tests/test_exports.py::TestAllExports::test_export_pdf_mocked[relatorios:log_acoes] FAILED [ 89%]
caixa_nfse/relatorios/tests/test_exports.py::TestAllExports::test_export_xlsx_mocked[relatorios:movimentacoes] FAILED [ 90%]
caixa_nfse/relatorios/tests/test_exports.py::TestAllExports::test_export_xlsx_mocked[relatorios:resumo_caixa] FAILED [ 90%]
caixa_nfse/relatorios/tests/test_exports.py::TestAllExports::test_export_xlsx_mocked[relatorios:formas_pagamento] FAILED [ 90%]
caixa_nfse/relatorios/tests/test_exports.py::TestAllExports::test_export_xlsx_mocked[relatorios:performance_operador] FAILED [ 91%]
caixa_nfse/relatorios/tests/test_exports.py::TestAllExports::test_export_xlsx_mocked[relatorios:historico_aberturas] FAILED [ 91%]
caixa_nfse/relatorios/tests/test_exports.py::TestAllExports::test_export_xlsx_mocked[relatorios:diferencas_caixa] FAILED [ 91%]
caixa_nfse/relatorios/tests/test_exports.py::TestAllExports::test_export_xlsx_mocked[relatorios:log_acoes] FAILED [ 92%]
caixa_nfse/relatorios/tests/test_views.py::TestRelatoriosPermissions::test_acesso_negado_nao_gerente PASSED [ 92%]
caixa_nfse/relatorios/tests/test_views.py::TestRelatoriosPermissions::test_acesso_permitido_gerente PASSED [ 93%]
caixa_nfse/relatorios/tests/test_views.py::TestMovimentacoesReportView::test_list_movimentacoes PASSED [ 93%]
caixa_nfse/relatorios/tests/test_views.py::TestMovimentacoesReportView::test_filter_by_date FAILED [ 93%]
caixa_nfse/relatorios/tests/test_views.py::TestMovimentacoesReportView::test_export_pdf_trigger FAILED [ 94%]
